No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Bruce Bowen,SF,6-7,185,"June 14, 1971",us US,7,Cal State Fullerton
23,Devin Brown,SG,6-5,220,"December 30, 1978",us US,1,Texas-San Antonio
3,Matt Carroll,SG,6-6,212,"August 28, 1980",us US,R,Notre Dame
7,Anthony Carter,PG,6-1,190,"June 16, 1975",us US,4,Hawaii
21,Tim Duncan,PF,6-11,250,"April 25, 1976",vi VI,6,Wake Forest
10,Alex Garcia,SG,6-3,220,"March 4, 1980",br BR,R,
20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar AR,1,
1,Jason Hart,PG,6-3,185,"April 29, 1978",us US,2,Syracuse
11,Shane Heal,PG,6-0,180,"September 6, 1970",au AU,1,
5,Robert Horry,PF,6-10,240,"August 25, 1970",us US,11,Alabama
33,Ron Mercer,SG,6-7,210,"May 18, 1976",us US,6,Kentucky
8,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,5,
9,Tony Parker,PG,6-2,185,"May 17, 1982",be BE,2,
31,Malik Rose,PF,6-7,250,"November 23, 1974",us US,7,Drexel
14,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr TR,3,
17,Charlie Ward,PG,6-2,190,"October 12, 1970",us US,9,Florida State
42,Kevin Willis,C,7-0,220,"September 6, 1962",us US,18,Michigan State
