No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Carmelo Anthony,SF,6-7,238,"May 29, 1984",us US,3,Syracuse
25,Steve Blake,PG,6-3,172,"February 26, 1980",us US,3,Maryland
11,Earl Boykins,PG,5-5,135,"June 2, 1976",us US,8,Eastern Michigan
23,Marcus Camby,C,6-11,220,"March 22, 1974",us US,10,UMass
4,Anthony Carter,PG,6-1,190,"June 16, 1975",us US,7,Hawaii
5,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",fr FR,R,Pepperdine
30,Reggie Evans,PF,6-8,245,"May 18, 1980",us US,4,Iowa
31,Nenê,C,6-11,250,"September 13, 1982",br BR,4,
32,Julius Hodge,SG,6-7,210,"November 18, 1983",us US,1,NC State
3,Allen Iverson,SG,6-0,165,"June 7, 1975",us US,10,Georgetown
"3, 8",DerMarr Johnson,SF,6-9,201,"May 5, 1980",us US,5,Cincinnati
43,Linas Kleiza,PF,6-8,245,"January 3, 1985",lt LT,1,Missouri
6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,6,Cincinnati
24,Andre Miller,PG,6-3,200,"March 19, 1976",us US,7,Utah
21,Eduardo Nájera,PF,6-8,240,"July 11, 1976",mx MX,6,Oklahoma
7,Jamal Sampson,C,6-11,235,"May 15, 1983",us US,4,California
1,J.R. Smith,SG,6-6,225,"September 9, 1985",us US,2,
8,Joe Smith,PF,6-10,225,"July 26, 1975",us US,11,Maryland
