No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30,Earl Barron,C,7-0,250,"August 14, 1981",us US,1,Memphis
51,Michael Doleac,C,6-11,262,"June 15, 1977",us US,8,Utah
40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us US,3,Florida
22,Robert Hite,SG,6-2,184,"January 12, 1984",us US,R,Miami (FL)
6,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,12,Temple
24,Jason Kapono,SF,6-8,213,"February 4, 1981",us US,3,UCLA
33,Alonzo Mourning,C,6-10,240,"February 8, 1970",us US,13,Georgetown
32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us US,14,LSU
20,Gary Payton,PG,6-4,180,"July 23, 1968",us US,16,Oregon State
42,James Posey,SF,6-8,215,"January 13, 1977",us US,7,Xavier
11,Chris Quinn,PG,6-2,185,"September 27, 1983",us US,R,Notre Dame
25,Wayne Simien,PF,6-9,255,"March 9, 1983",us US,1,Kansas
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us US,3,Marquette
8,Antoine Walker,PF,6-9,224,"August 12, 1976",us US,10,Kentucky
55,Jason Williams,PG,6-1,190,"November 18, 1975",us US,8,"Marshall, Florida"
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us US,2,
