No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Lou Amundson,PF,6-9,220,"December 7, 1982",us US,R,UNLV
55,Rafael Araújo,C,6-11,280,"August 12, 1980",br BR,2,BYU
5,Carlos Boozer,PF,6-9,258,"November 20, 1981",de DE,4,Duke
9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",us US,R,Arkansas
11,Dee Brown,PG,6-0,185,"August 17, 1984",us US,R,Illinois
31,Jarron Collins,C,6-11,255,"December 2, 1978",us US,5,Stanford
2,Derek Fisher,SG,6-1,200,"August 9, 1974",us US,10,Little Rock
10,Gordan Giriček,SG,6-6,210,"June 20, 1977",hr HR,4,
15,Matt Harpring,SF,6-7,231,"May 31, 1976",us US,8,Georgia Tech
47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",ru RU,5,
34,C.J. Miles,SG,6-6,220,"March 18, 1987",us US,1,
24,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,R,Louisiana Tech
13,Mehmet Okur,C,6-11,249,"May 26, 1979",tr TR,4,
43,Roger Powell,SF,6-6,235,"January 15, 1983",us US,R,Illinois
8,Deron Williams,PG,6-3,200,"June 26, 1984",us US,1,Illinois
