No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,2,UNC
11,Mo Bamba,C,7-0,231,"May 12, 1998",us US,4,Texas
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,R,Duke
35,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,3,
10,Bol Bol,PF,7-3,220,"November 16, 1999",sd SD,3,Oregon
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,4,Duke
11,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us US,8,Syracuse
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,5,Washington
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,2,
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,8,Michigan State
7,Kevon Harris,SG,6-5,216,"June 24, 1997",us US,R,Stephen F. Austin
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca CA,R,Michigan
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,3,Florida State
3,Chuma Okeke,SF,6-6,229,"August 18, 1998",us US,2,Auburn
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,10,Washington
25,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb GB,2,Tennessee
0,Jay Scrubb,SG,6-5,220,"September 1, 2000",us US,2,John A. Logan College
4,Jalen Suggs,SG,6-5,205,"June 3, 2001",us US,1,Gonzaga
22,Franz Wagner,SF,6-10,225,"August 27, 2001",de DE,1,Michigan
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,4,Michigan
