No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,5,Villanova
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,3,Duke
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",us US,4,Villanova
13,Evan Fournier,SG,6-6,205,"October 29, 1992",fr FR,10,
6,Quentin Grimes,SG,6-5,205,"May 8, 2000",us US,1,"Kansas, Houston"
3,Josh Hart,SF,6-4,215,"March 6, 1995",us US,5,Villanova
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,4,
8,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us US,3,"Oral Roberts, Tulsa"
"0, 3",Trevor Keels,SG,6-5,221,"August 26, 2003",us US,R,Duke
2,Miles McBride,PG,6-2,200,"September 8, 2000",us US,1,West Virginia
17,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,4,Kansas
5,Immanuel Quickley,SG,6-3,190,"June 17, 1999",us US,2,Kentucky
30,Julius Randle,PF,6-8,250,"November 29, 1994",us US,8,Kentucky
0,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,3,Duke
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,4,Western Kentucky
4,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,13,Memphis
45,Jericho Sims,C,6-10,245,"October 20, 1998",us US,1,Texas
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,2,Dayton
