No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Deandre Ayton,C,7-0,250,"July 23, 1998",bs BS,4,Arizona
55,Darius Bazley,C,6-8,208,"June 12, 2000",us US,3,
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,11,
1,Devin Booker,SG,6-6,206,"October 30, 1996",us US,7,Kentucky
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,4,Villanova
0,Torrey Craig,PF,6-7,221,"December 19, 1990",us US,5,USC Upstate
35,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,14,Texas
23,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,3,"Pitt, UNC"
11,Jock Landale,C,6-11,256,"October 25, 1995",au AU,1,Saint Mary's
10,Damion Lee,SG,6-5,210,"October 21, 1992",us US,5,"Drexel, Louisville"
38,Saben Lee,PG,6-2,183,"June 23, 1999",us US,2,Vanderbilt
2,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,4,Georgia Tech
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,17,Wake Forest
15,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,7,Murray State
8,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,10,Washington
20,Dario Šarić,PF,6-10,225,"April 8, 1994",hr HR,5,
14,Landry Shamet,SG,6-4,190,"March 13, 1997",us US,4,Wichita State
12,Ish Wainright,SF,6-6,250,"September 12, 1994",us US,1,Baylor
21,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,7,NC State
4,Duane Washington Jr.,SG,6-3,210,"March 24, 2000",de DE,1,Ohio State
