No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
26,Dominick Barlow,PF,6-9,221,"May 26, 2003",us US,R,
28,Charles Bassey,C,6-10,235,"October 28, 2000",ng NG,1,Western Kentucky
31,Keita Bates-Diop,PF,6-8,229,"January 23, 1996",us US,4,Ohio State
22,Malaki Branham,SG,6-4,180,"May 12, 2003",us US,R,Ohio State
30,Julian Champagnie,SF,6-8,220,"June 29, 2001",us US,R,St. John's
23,Zach Collins,C,6-11,250,"November 19, 1997",us US,4,Gonzaga
41,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,9,Louisville
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,4,Kansas
55,Jordan Hall,SF,6-7,215,"January 14, 2002",us US,R,Saint Joseph's
19,Alize Johnson,PF,6-7,212,"April 22, 1996",us US,4,Missouri State
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us US,3,Kentucky
34,Stanley Johnson,SF,6-6,242,"May 29, 1996",us US,7,Arizona
33,Tre Jones,PG,6-1,185,"January 8, 2000",us US,2,Duke
35,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,3,Indiana
54,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us US,1,Seton Hall
17,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,8,Creighton
25,Jakob Poeltl,C,7-0,245,"October 15, 1995",at AT,6,Utah
11,Joshua Primo,SG,6-6,190,"December 24, 2002",ca CA,1,Alabama
7,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,7,Tennessee
18,Isaiah Roby,PF,6-8,230,"February 3, 1998",us US,3,Nebraska
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us US,R,Baylor
24,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,2,Florida State
14,Blake Wesley,SG,6-5,185,"March 16, 2003",us US,R,Notre Dame
