No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,3,Virginia Tech
5,Kyle Anderson,PF,6-9,230,"September 20, 1993",us US,8,UCLA
10,Mike Conley,PG,6-0,175,"October 11, 1987",us US,15,Ohio State
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,2,Georgia
10,Bryn Forbes,SG,6-2,205,"July 23, 1993",us US,6,Michigan State
55,Luka Garza,C,6-10,235,"December 27, 1998",us US,1,Iowa
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,9,
13,Nathan Knight,C,6-8,253,"September 20, 1997",us US,2,William & Mary
0,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,R,South Carolina
3,Jaden McDaniels,SF,6-9,185,"September 29, 2000",us US,2,Washington
6,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",us US,3,USC
8,Josh Minott,SF,6-8,205,"November 25, 2002",us US,R,Memphis
7,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us US,R,Duke
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,3,Washington
12,Taurean Prince,PF,6-6,218,"March 22, 1994",us US,6,Baylor
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,3,LSU
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,10,Duke
0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,7,Ohio State
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,1,"Notre Dame, Vanderbilt, Chattanooga"
32,Karl-Anthony Towns,PF,7-0,248,"November 15, 1995",us US,7,Kentucky
