No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,1,Georgia Tech
11,Dyson Daniels,PG,6-8,199,"March 17, 2003",au AU,R,
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,4,Kansas
10,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,3,Texas
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es ES,6,
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,6,Duke
5,Herbert Jones,PF,6-8,210,"October 6, 1998",us US,1,Alabama
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,2,Alabama
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us US,2,Xavier
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,9,Lehigh
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,1,"Rice University, Virginia"
22,Larry Nance Jr.,C,6-8,245,"January 1, 1993",us US,7,Wyoming
2,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,7,Tennessee
0,Dereon Seabron,SG,6-7,180,"May 26, 2000",us US,R,NC State
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,12,LSU
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,10,
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,2,Duke
