Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 16_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 23_level_1,2P,3P,Unnamed: 26_level_1,%FGA,#,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,#
1,Tariq Abdul-Wahad,SG,25,TOT,61,1578,.424,11.6,,.964,.289,.184,.198,.293,.036,,.435,.652,.319,.344,.354,.130,,.576,1.000,,.099,54,,.130,.333,,0,0
1,Tariq Abdul-Wahad,SG,25,ORL,46,1205,.433,11.9,,.959,.285,.165,.198,.311,.041,,.447,.653,.341,.363,.369,.095,,.548,1.000,,.101,43,,.095,.000,,0,0
1,Tariq Abdul-Wahad,SG,25,DEN,15,373,.389,10.5,,.985,.305,.260,.198,.221,.015,,.388,.650,.265,.269,.276,.500,,.700,1.000,,.092,11,,.500,1.000,,0,0
2,Shareef Abdur-Rahim,SF,23,VAN,82,3223,.465,9.8,,.925,.306,.284,.151,.183,.075,,.478,.652,.410,.358,.393,.302,,.494,1.000,,.086,101,,.563,.370,,2,0
3,Cory Alexander,PG,26,DEN,29,329,.286,16.0,,.643,.224,.112,.102,.204,.357,,.302,.545,.182,.100,.200,.257,,.211,.667,,.010,1,,.171,.167,,0,0
4,Ray Allen*,SG,24,MIL,82,3070,.455,15.1,,.712,.195,.128,.223,.166,.288,,.468,.596,.414,.417,.427,.423,,.421,.855,,.043,54,,.273,.459,,12,0
5,Rafer Alston,PG,23,MIL,27,361,.284,16.0,,.853,.116,.116,.221,.400,.147,,.296,.273,.364,.238,.316,.214,,.583,1.000,,.000,0,,.571,.375,,1,0
6,John Amaechi,C,29,ORL,80,1684,.437,10.8,,.991,.286,.267,.123,.316,.009,,.439,.550,.353,.407,.425,.167,,.574,1.000,,.013,7,,.167,.000,,0,0
7,Derek Anderson,SG,25,LAC,64,2201,.438,14.6,,.793,.250,.085,.183,.276,.207,,.472,.656,.329,.382,.409,.309,,.438,.764,,.066,53,,.208,.405,,3,0
