Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 16_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 23_level_1,2P,3P,Unnamed: 26_level_1,%FGA,#,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,#
1,Tariq Abdul-Wahad,SG,27,TOT,24,441,.374,8.1,,.986,.395,.218,.129,.245,.014,,.372,.552,.438,.211,.111,.500,,.667,1.000,,.068,8,,.000,,,0,0
1,Tariq Abdul-Wahad,SG,27,DEN,20,417,.379,8.0,,.986,.400,.221,.117,.248,.014,,.378,.552,.438,.235,.111,.500,,.667,1.000,,.069,8,,.000,,,0,0
1,Tariq Abdul-Wahad,SG,27,DAL,4,24,.000,13.5,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0
2,Shareef Abdur-Rahim,PF,25,ATL,77,2980,.461,8.6,,.946,.347,.271,.133,.196,.054,,.470,.578,.442,.384,.378,.300,,.501,1.000,,.085,99,,.329,.304,,1,0
3,Courtney Alexander,SG,24,WAS,56,1325,.470,12.6,,.962,.190,.127,.278,.367,.038,,.478,.689,.283,.470,.443,.278,,.642,.800,,.042,20,,.222,.250,,0,0
4,Victor Alexander,C,32,DET,15,97,.353,15.4,,.961,.118,.059,.137,.647,.039,,.367,1.000,1.000,.286,.212,.000,,.778,,,.000,0,,1.000,.000,,0,0
5,Malik Allen,PF,23,MIA,12,161,.431,11.6,,.980,.176,.216,.216,.373,.020,,.440,.778,.455,.182,.421,.000,,.591,,,.039,2,,.000,,,0,0
6,Ray Allen*,SG,26,MIL,69,2525,.462,16.9,,.540,.167,.089,.176,.108,.460,,.485,.547,.461,.455,.460,.434,,.449,.769,,.028,27,,.250,.447,,8,0
7,Rafer Alston,PG,25,MIL,50,600,.346,15.8,,.628,.230,.042,.089,.267,.372,,.325,.455,.250,.176,.275,.380,,.231,.926,,.000,0,,.310,.409,,0,0
8,John Amaechi,PF,31,UTA,54,586,.325,6.3,,1.000,.470,.271,.078,.181,.000,,.325,.462,.156,.154,.300,,,.630,,,.030,4,,,,,0,0
9,Chris Andersen,C,23,DEN,24,262,.338,5.5,,.946,.676,.095,.054,.122,.054,,.357,.460,.143,.000,.111,.000,,.600,,,.230,14,,.250,.000,,1,0
10,Derek Anderson,SG,27,POR,70,1860,.404,16.2,,.627,.229,.049,.069,.283,.373,,.422,.536,.233,.357,.376,.373,,.654,.882,,.049,27,,.241,.455,,0,0
11,Kenny Anderson,PG,31,BOS,76,2430,.436,11.6,,.954,.288,.127,.155,.384,.046,,.444,.553,.308,.351,.444,.273,,.406,.889,,.000,0,,.121,.500,,1,0
12,Nick Anderson,SG,34,MEM,15,219,.276,20.8,,.368,.066,.039,.079,.184,.632,,.286,.600,.333,.333,.143,.271,,1.000,.923,,.000,0,,.188,.222,,1,0
13,Shandon Anderson,SG,28,NYK,82,1596,.399,12.3,,.622,.370,.094,.075,.083,.378,,.474,.551,.429,.357,.290,.277,,.682,.974,,.019,6,,.723,.324,,0,0
14,Greg Anthony,PG,34,TOT,60,1514,.385,16.6,,.657,.162,.080,.122,.293,.343,,.433,.519,.263,.517,.396,.294,,.496,.854,,.000,0,,.209,.265,,0,0
14,Greg Anthony,PG,34,CHI,36,961,.394,15.6,,.686,.188,.108,.108,.282,.314,,.426,.537,.194,.484,.420,.322,,.440,.862,,.000,0,,.144,.308,,0,0
14,Greg Anthony,PG,34,MIL,24,553,.372,18.0,,.612,.122,.037,.144,.309,.388,,.443,.478,.571,.556,.362,.260,,.588,.842,,.000,0,,.288,.238,,0,0
15,Gilbert Arenas,PG,20,GSW,47,1155,.453,13.5,,.706,.341,.068,.055,.242,.294,,.498,.626,.154,.286,.462,.345,,.289,.795,,.036,11,,.088,.300,,1,0
16,Brandon Armstrong,SG,21,NJN,35,196,.318,16.2,,.800,.129,.071,.094,.506,.200,,.324,.273,.333,.375,.326,.294,,.682,.800,,.012,1,,.412,.286,,0,0
17,Darrell Armstrong,PG,33,ORL,82,2730,.419,17.0,,.519,.184,.063,.101,.170,.481,,.484,.638,.308,.440,.411,.349,,.433,.820,,.012,10,,.274,.413,,0,0
18,Carlos Arroyo,PG,22,TOT,37,371,.441,11.7,,.982,.315,.090,.063,.514,.018,,.450,.514,.200,.571,.439,.000,,.510,,,.000,0,,.500,.000,,0,0
18,Carlos Arroyo,PG,22,TOR,17,96,.448,9.3,,1.000,.414,.103,.069,.414,.000,,.448,.667,.000,.500,.333,,,.538,,,.000,0,,,,,0,0
18,Carlos Arroyo,PG,22,DEN,20,275,.439,12.6,,.976,.280,.085,.061,.549,.024,,.450,.435,.286,.600,.467,.000,,.500,,,.000,0,,.500,.000,,0,0
19,Chucky Atkins,PG,27,DET,79,2285,.466,16.4,,.575,.246,.039,.067,.223,.425,,.507,.562,.419,.358,.506,.411,,.335,.949,,.000,0,,.295,.434,,4,1
20,Stacey Augmon,SG,33,CHH,77,1319,.427,10.2,,.991,.296,.162,.229,.308,.009,,.431,.546,.377,.373,.396,.000,,.736,,,.058,18,,.333,.000,,1,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
21,Isaac Austin,C,32,MEM,21,307,.391,15.3,,.967,.120,.054,.174,.620,.033,,.404,.273,.200,.563,.404,.000,,.917,,,.000,0,,.333,.000,,0,0
22,William Avery,PG,22,MIN,28,258,.289,16.6,,.611,.233,.056,.044,.278,.389,,.364,.571,.400,.000,.240,.171,,.300,.333,,.000,0,,.114,.250,,1,0
