No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Trevor Ariza,SF,6-8,215,"June 30, 1985",us US,3,UCLA
54,Kwame Brown,C,6-11,270,"March 10, 1982",us US,6,
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,11,
17,Andrew Bynum,C,7-0,285,"October 27, 1987",us US,2,
43,Brian Cook,PF,6-9,234,"December 4, 1980",us US,4,Illinois
1,Javaris Crittenton,SG,6-5,200,"December 31, 1987",us US,R,Georgia Tech
6,Maurice Evans,SG,6-5,220,"November 8, 1978",us US,4,"Wichita State, Texas"
5,Jordan Farmar,PG,6-2,180,"November 30, 1986",us US,1,UCLA
2,Derek Fisher,PG,6-1,200,"August 9, 1974",us US,11,Little Rock
16,Pau Gasol,C,7-0,250,"July 6, 1980",es ES,6,
28,D.J. Mbenga,C,7-0,245,"December 30, 1980",cd CD,3,
11,Coby Karl,SG,6-5,215,"March 6, 1983",us US,R,Boise State
31,Chris Mihm,C,7-0,265,"July 16, 1979",us US,6,Texas
14,Ira Newble,SF,6-7,220,"January 20, 1975",us US,7,Miami University
7,Lamar Odom,PF,6-10,220,"November 6, 1979",us US,8,Rhode Island
10,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba BA,6,
21,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq MQ,2,Gonzaga
18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si SI,3,
4,Luke Walton,SF,6-8,235,"March 28, 1980",us US,4,Arizona
