No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Carmelo Anthony,SF,6-7,238,"May 29, 1984",us US,4,Syracuse
12,Chucky Atkins,SG,5-11,160,"August 14, 1974",us US,8,South Florida
23,Marcus Camby,C,6-11,220,"March 22, 1974",us US,11,UMass
25,Anthony Carter,PG,6-1,190,"June 16, 1975",us US,8,Hawaii
5,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",fr FR,1,Pepperdine
0,Taurean Green,SG,6-0,177,"November 28, 1986",us US,R,Florida
31,Nenê,PF,6-11,250,"September 13, 1982",br BR,5,
45,Steven Hunter,C,7-0,220,"October 31, 1981",us US,6,DePaul
3,Allen Iverson,SG,6-0,165,"June 7, 1975",us US,11,Georgetown
11,Bobby Jones,SF,6-7,215,"January 9, 1984",us US,1,Washington
43,Linas Kleiza,SF,6-8,245,"January 3, 1985",lt LT,2,Missouri
4,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,7,Cincinnati
34,Jelani McCoy,C,6-10,245,"December 6, 1977",us US,7,UCLA
21,Eduardo Nájera,PF,6-8,240,"July 11, 1976",mx MX,7,Oklahoma
1,J.R. Smith,SG,6-6,225,"September 9, 1985",us US,3,
22,Von Wafer,SG,6-5,210,"July 21, 1985",us US,2,Florida State
29,Mike Wilks,PG,5-10,185,"May 7, 1979",us US,5,Rice University
