No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,4,UNLV
10,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br BR,4,
19,Raja Bell,SG,6-5,204,"September 19, 1976",vi VI,7,"Boston University, Florida International University"
3,Boris Diaw,PF,6-8,250,"April 16, 1982",fr FR,4,
2,Gordan Giriček,SG,6-6,210,"June 20, 1977",hr HR,5,
33,Grant Hill,SF,6-8,225,"October 5, 1972",us US,12,Duke
43,Linton Johnson,PF,6-8,205,"June 13, 1980",us US,4,Tulane
31,Shawn Marion,PF,6-7,220,"May 7, 1978",us US,8,"Vincennes University, UNLV"
4,Sean Marks,C,6-10,250,"August 23, 1975",nz NZ,7,California
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,11,Santa Clara
32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us US,15,LSU
52,Eric Piatkowski,SF,6-7,215,"September 30, 1970",us US,13,Nebraska
54,Brian Skinner,C,6-9,255,"May 19, 1976",us US,9,Baylor
1,Amar'e Stoudemire,C,6-10,245,"November 16, 1982",us US,5,
8,D.J. Strawberry,SG,6-5,201,"June 15, 1985",us US,R,Maryland
29,Alando Tucker,SF,6-6,205,"February 11, 1984",us US,R,Wisconsin
