No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Patrick Beverley,SG,6-2,180,"July 12, 1988",us US,5,Arkansas
11,Avery Bradley,SG,6-3,180,"November 26, 1990",us US,7,Texas
7,Sam Dekker,PF,6-9,230,"May 6, 1994",us US,2,Wisconsin
1,Jawun Evans,PG,6-0,185,"July 26, 1996",us US,R,Oklahoma State
8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it IT,8,
32,Blake Griffin,PF,6-9,250,"March 16, 1989",us US,7,Oklahoma
5,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,2,Louisville
34,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,6,Tennessee
11,Brice Johnson,PF,6-10,230,"June 27, 1994",us US,1,UNC
33,Wesley Johnson,SF,6-7,215,"July 11, 1987",us US,7,"Iowa State, Syracuse"
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,9,Texas A&M
2,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us US,3,Cincinnati
51,Boban Marjanović,C,7-4,290,"August 15, 1988",rs RS,2,
35,Willie Reed,C,6-10,220,"May 16, 1990",us US,2,Saint Louis
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,5,Duke
4,Miloš Teodosić,PG,6-5,196,"March 19, 1987",rs RS,R,
0,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us US,R,South Carolina
12,Tyrone Wallace,PG,6-5,198,"June 10, 1994",us US,R,California
9,C.J. Williams,SG,6-5,226,"February 6, 1990",us US,R,NC State
23,Lou Williams,SG,6-2,175,"October 27, 1986",us US,12,
13,Jamil Wilson,SF,6-7,230,"November 21, 1990",us US,R,"Oregon, Marquette"
