No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,R,Florida State
5,Nicolas Batum,SG,6-8,230,"December 14, 1988",fr FR,9,
10,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us US,4,Syracuse
21,Treveon Graham,SG,6-5,219,"October 28, 1993",us US,1,VCU
41,Willy Hernangómez,C,6-11,250,"May 27, 1994",es ES,1,
12,Dwight Howard,C,6-10,265,"December 8, 1985",us US,13,
44,Frank Kaminsky,PF,7-0,240,"April 4, 1993",us US,2,Wisconsin
14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",us US,5,Kentucky
3,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,5,UConn
9,Mangok Mathiang,C,6-10,230,"October 8, 1992",au AU,R,Louisville
1,Malik Monk,SG,6-3,200,"February 4, 1998",us US,R,Kentucky
8,Johnny O'Bryant,PF,6-9,257,"June 1, 1993",us US,3,LSU
4,Marcus Paige,PG,6-1,175,"September 11, 1993",us US,R,UNC
32,Julyan Stone,SG,6-6,200,"December 7, 1988",us US,3,Texas-El Paso
15,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,6,UConn
2,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,12,UNC
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,4,Indiana
