No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Ron Baker,SG,6-4,220,"March 30, 1993",us US,1,Wichita State
8,Michael Beasley,PF,6-9,235,"January 9, 1989",us US,9,Kansas State
23,Trey Burke,PG,6-0,185,"November 12, 1992",us US,4,Michigan
21,Damyean Dotson,SG,6-5,210,"May 6, 1994",us US,R,"Oregon, Houston"
0,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,6,Kentucky
3,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,4,Michigan
14,Willy Hernangómez,C,6-11,250,"May 27, 1994",es ES,1,
4,Isaiah Hicks,PF,6-9,230,"July 24, 1994",us US,R,UNC
55,Jarrett Jack,PG,6-3,200,"October 28, 1983",us US,12,Georgia Tech
2,Luke Kornet,C,7-2,250,"July 15, 1995",us US,R,Vanderbilt
91,Mindaugas Kuzminskas,SF,6-9,215,"October 19, 1989",lt LT,1,
5,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,9,Western Kentucky
20,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,3,Creighton
1,Emmanuel Mudiay,PG,6-3,200,"March 5, 1996",cd CD,2,
13,Joakim Noah,C,6-11,230,"February 25, 1985",us US,10,Florida
11,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be BE,R,
9,Kyle O'Quinn,C,6-9,250,"March 26, 1990",us US,5,Norfolk State
6,Kristaps Porziņģis,PF,7-2,240,"August 2, 1995",lv LV,2,
1,Ramon Sessions,PG,6-3,190,"April 11, 1986",us US,10,Nevada
42,Lance Thomas,PF,6-8,240,"April 24, 1988",us US,6,Duke
0,Troy Williams,SF,6-7,218,"December 30, 1994",us US,1,Indiana
