No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
28,Tarik Black,C,6-9,250,"November 22, 1991",us US,R,"Memphis, Kansas"
12,Vander Blue,SG,6-4,200,"July 17, 1992",us US,1,Marquette
5,Carlos Boozer,PF,6-9,258,"November 20, 1981",de DE,12,Duke
15,Jabari Brown,SG,6-4,215,"December 18, 1992",us US,R,"Oregon, Missouri"
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,18,
20,Dwight Buycks,PG,6-3,190,"March 6, 1989",us US,1,Marquette
6,Jordan Clarkson,PG,6-3,194,"June 7, 1992",us US,R,"Tulsa, Missouri"
21,Ed Davis,PF,6-9,218,"June 5, 1989",us US,4,UNC
2,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,5,UNC
7,Xavier Henry,SF,6-6,220,"March 15, 1991",be BE,4,Kansas
27,Jordan Hill,C,6-10,235,"July 27, 1987",us US,5,Arizona
11,Wesley Johnson,SF,6-7,215,"July 11, 1987",us US,4,"Iowa State, Syracuse"
4,Ryan Kelly,PF,6-11,230,"April 9, 1991",us US,1,Duke
17,Jeremy Lin,PG,6-3,200,"August 23, 1988",us US,4,Harvard University
9,Ronnie Price,PG,6-2,190,"June 21, 1983",us US,9,"Nicholls State, Utah Valley"
30,Julius Randle,PF,6-8,250,"November 29, 1994",us US,R,Kentucky
50,Robert Sacre,C,7-0,270,"June 6, 1989",us US,2,Gonzaga
0,Nick Young,SG,6-7,210,"June 1, 1985",us US,7,USC
