No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Alexis Ajinça,C,7-2,248,"May 6, 1988",fr FR,4,
33,Ryan Anderson,PF,6-9,240,"May 6, 1988",us US,6,California
3,Ömer Aşık,C,7-0,255,"July 4, 1986",tr TR,4,
8,Luke Babbitt,SF,6-9,225,"June 20, 1989",us US,4,Nevada
30,Norris Cole,PG,6-2,175,"October 13, 1988",us US,3,Cleveland State University
44,Dante Cunningham,PF,6-8,230,"April 22, 1987",us US,5,Villanova
23,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,2,Kentucky
16,Toney Douglas,SG,6-2,195,"March 16, 1986",us US,5,"Auburn, Florida State"
1,Tyreke Evans,SG,6-6,220,"September 19, 1989",us US,5,Memphis
32,Jimmer Fredette,PG,6-2,195,"February 25, 1989",us US,3,BYU
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,6,Indiana
11,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,5,UCLA
24,Gal Mekel,PG,6-3,191,"March 4, 1988",il IL,1,Wichita State
2,Darius Miller,SF,6-6,225,"March 21, 1990",us US,2,Kentucky
20,Quincy Pondexter,SF,6-7,230,"March 10, 1988",us US,4,Washington
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,2,Duke
15,John Salmons,SF,6-7,210,"December 12, 1979",us US,12,Miami (FL)
9,Russ Smith,PG,6-0,165,"April 19, 1991",us US,R,Louisville
2,Elliot Williams,SG,6-5,190,"June 20, 1989",us US,2,"Duke, Memphis"
5,Jeff Withey,C,7-0,231,"March 7, 1990",us US,1,Kansas
4,Nate Wolters,PG,6-4,190,"May 15, 1991",us US,1,South Dakota State
