No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Arron Afflalo,SG,6-5,210,"October 15, 1985",us US,7,UCLA
12,LaMarcus Aldridge,PF,6-11,250,"July 19, 1985",us US,8,Texas
5,Will Barton,SG,6-5,181,"January 6, 1991",us US,2,Memphis
88,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,6,
5,Steve Blake,PG,6-3,172,"February 26, 1980",us US,11,Maryland
18,Victor Claver,SF,6-9,224,"August 30, 1988",es ES,2,
23,Allen Crabbe,SG,6-5,212,"April 9, 1992",us US,1,California
10,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,R,Penn State
19,Joel Freeland,C,6-10,250,"February 7, 1987",gb GB,2,
33,Alonzo Gee,SF,6-6,225,"May 29, 1987",us US,5,Alabama
35,Chris Kaman,C,7-0,265,"April 28, 1982",us US,11,Central Michigan University
11,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,2,Illinois
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,2,Weber State
42,Robin Lopez,C,7-1,281,"April 1, 1988",us US,6,Stanford
2,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,5,Marquette
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,1,Lehigh
41,Thomas Robinson,PF,6-10,237,"March 17, 1991",us US,2,Kansas
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us US,10,
