No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Jeff Adrien,PF,6-7,245,"February 10, 1986",us US,4,UConn
24,Anthony Bennett,PF,6-8,245,"March 14, 1993",ca CA,1,UNLV
13,Corey Brewer,SF,6-9,186,"March 5, 1986",us US,7,Florida
7,Lorenzo Brown,PG,6-5,189,"August 26, 1990",us US,1,NC State
10,Chase Budinger,SF,6-7,209,"May 22, 1988",us US,5,Arizona
30,Troy Daniels,SG,6-4,200,"July 15, 1991",us US,1,VCU
5,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,1,Louisville
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,19,
41,Justin Hamilton,C,7-0,260,"April 1, 1990",us US,1,"Iowa State, LSU"
4,Robbie Hummel,SF,6-8,215,"March 8, 1989",us US,1,Purdue
1,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us US,R,Cincinnati
8,Zach LaVine,PG,6-5,200,"March 10, 1995",us US,R,UCLA
23,Kevin Martin,SG,6-7,199,"February 1, 1983",us US,10,Western Carolina University
15,Shabazz Muhammad,SG,6-6,223,"November 13, 1992",us US,1,UCLA
12,Gary Neal,SG,6-4,210,"October 3, 1984",us US,4,"La Salle, Towson University"
50,Arinze Onuaku,C,6-9,255,"July 13, 1987",us US,1,Syracuse
3,Adreian Payne,PF,6-10,237,"February 19, 1991",us US,R,Michigan State
14,Nikola Peković,C,6-11,307,"January 3, 1986",me ME,4,
13,Miroslav Raduljica,C,7-0,250,"January 5, 1988",rs RS,1,
1,Glenn Robinson III,SG,6-6,222,"January 8, 1994",us US,R,Michigan
9,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,3,
32,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq MQ,9,Gonzaga
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,R,Kansas
25,Mo Williams,PG,6-1,198,"December 19, 1982",us US,11,Alabama
33,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,7,Georgia Tech
