No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
19,Furkan Aldemir,PF,6-10,240,"August 9, 1991",tr TR,R,
0,Isaiah Canaan,PG,6-0,201,"May 21, 1991",us US,1,Murray State
1,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us US,1,Syracuse
33,Robert Covington,SF,6-7,209,"December 14, 1990",us US,1,Tennessee State
0,Brandon Davies,PF,6-10,240,"July 25, 1991",us US,1,BYU
7,Larry Drew II,PG,6-2,180,"March 5, 1990",us US,R,"UNC, UCLA"
20,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,R,Penn State
30,Drew Gordon,PF,6-9,245,"July 12, 1990",us US,R,"UCLA, New Mexico"
39,Jerami Grant,SF,6-7,210,"March 12, 1994",us US,R,Syracuse
16,Chris Johnson,SF,6-6,206,"April 29, 1990",us US,2,Dayton
11,Malcolm Lee,SG,6-5,200,"May 22, 1990",us US,2,UCLA
12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",cm CM,6,UCLA
14,K.J. McDaniels,SG,6-6,205,"February 9, 1993",us US,R,Clemson
1,JaVale McGee,C,7-0,270,"January 19, 1988",us US,6,Nevada
4,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,R,Kentucky
23,Jason Richardson,SG,6-6,220,"January 20, 1981",us US,12,Michigan State
1,Glenn Robinson III,SF,6-6,222,"January 8, 1994",us US,R,Michigan
41,Thomas Robinson,PF,6-10,237,"March 17, 1991",us US,2,Kansas
9,JaKarr Sampson,SF,6-7,214,"March 20, 1993",us US,R,St. John's
88,Alexey Shved,SG,6-6,190,"December 16, 1988",ru RU,2,
35,Henry Sims,C,6-10,248,"March 27, 1990",us US,2,Georgetown
5,Ish Smith,PG,6-0,175,"July 5, 1988",us US,4,Wake Forest
11,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us US,3,"Pepperdine, San Diego State"
31,Hollis Thompson,SG,6-8,206,"April 3, 1991",us US,1,Georgetown
8,Tony Wroten,PG,6-6,205,"April 13, 1993",us US,2,Washington
