No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Quincy Acy,SF,6-7,240,"October 6, 1990",us US,1,Baylor
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,5,Texas
13,Dwight Buycks,PG,6-3,190,"March 6, 1989",us US,R,Marquette
5,Austin Daye,SF,6-11,220,"June 5, 1988",us US,4,Gonzaga
3,Nando De Colo,SF,6-5,200,"June 23, 1987",fr FR,1,
10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",us US,4,USC
2,Landry Fields,SF,6-7,210,"June 27, 1988",us US,3,Stanford
22,Rudy Gay,SF,6-8,250,"August 17, 1986",us US,7,UConn
34,Aaron Gray,C,7-0,270,"December 7, 1984",us US,6,Pitt
50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",us US,4,UNC
44,Chuck Hayes,C,6-6,240,"June 11, 1983",us US,8,Kentucky
15,Amir Johnson,PF,6-9,240,"May 1, 1987",us US,8,
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,7,Villanova
16,Steve Novak,PF,6-10,225,"June 13, 1983",us US,7,Marquette
54,Patrick Patterson,PF,6-8,235,"March 14, 1989",us US,3,Kentucky
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,1,Washington
25,John Salmons,SG,6-7,210,"December 12, 1979",us US,11,Miami (FL)
77,Julyan Stone,SG,6-6,200,"December 7, 1988",us US,2,Texas-El Paso
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,1,
21,Greivis Vásquez,PG,6-6,217,"January 16, 1987",ve VE,3,Maryland
