No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Joel Anthony,C,6-9,245,"August 9, 1982",ca CA,6,UNLV
52,Chris Babb,SG,6-5,225,"February 14, 1990",us US,R,"Penn State, Iowa State"
30,Brandon Bass,PF,6-8,250,"April 30, 1985",us US,8,LSU
11,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us US,5,Arizona
13,Vander Blue,SG,6-4,200,"July 17, 1992",us US,R,Marquette
4,Keith Bogans,SG,6-5,215,"May 12, 1980",us US,10,Kentucky
0,Avery Bradley,SG,6-3,180,"November 26, 1990",us US,3,Texas
12,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,2,Providence
27,Jordan Crawford,PG,6-4,195,"October 23, 1988",us US,3,"Indiana, Xavier"
38,Vítor Luiz Faverani,C,6-11,260,"May 5, 1988",br BR,R,
8,Jeff Green,SF,6-8,235,"August 28, 1986",us US,5,Georgetown
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,9,Minnesota
12,Chris Johnson,SF,6-6,206,"April 29, 1990",us US,1,Dayton
11,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,5,Western Kentucky
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca CA,R,Gonzaga
26,Phil Pressey,PG,5-11,175,"February 17, 1991",us US,R,Missouri
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,7,Kentucky
7,Jared Sullinger,PF,6-9,260,"March 4, 1992",us US,1,Ohio State
45,Gerald Wallace,SF,6-7,215,"July 23, 1982",us US,12,Alabama
