No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Jeff Adrien,PF,6-7,245,"February 10, 1986",us US,3,UConn
34,Giannis Antetokounmpo,SF,6-11,242,"December 6, 1994",gr GR,R,
3,Caron Butler,SF,6-7,228,"March 13, 1980",us US,11,UConn
31,John Henson,PF,6-9,219,"December 28, 1990",us US,1,UNC
7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,5,
11,Brandon Knight,PG,6-2,182,"December 2, 1991",us US,2,Kentucky
0,O.J. Mayo,SG,6-5,210,"November 5, 1987",us US,5,USC
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,1,Texas A&M
18,Tony Mitchell,SF,6-6,216,"August 7, 1989",us US,R,Alabama
12,Gary Neal,SG,6-4,210,"October 3, 1984",us US,3,"La Salle, Towson University"
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,10,
9,Miroslav Raduljica,C,7-0,250,"January 5, 1988",rs RS,R,
13,Luke Ridnour,PG,6-2,175,"February 13, 1981",us US,10,Oregon
8,Larry Sanders,C,6-11,235,"November 21, 1988",us US,3,VCU
13,Ramon Sessions,PG,6-3,190,"April 11, 1986",us US,6,Nevada
15,D.J. Stephens,SG,6-5,188,"December 19, 1990",us US,R,Memphis
5,Ekpe Udoh,PF,6-10,245,"May 20, 1987",us US,3,"Michigan, Baylor"
6,Nate Wolters,PG,6-4,190,"May 15, 1991",us US,R,South Dakota State
15,Chris Wright,SF,6-8,226,"September 30, 1988",us US,1,Dayton
