No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Tony Allen,SG,6-4,213,"January 11, 1982",us US,9,"Butler County Community College, Oklahoma State"
7,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us US,5,Arizona
12,Nick Calathes,SG,6-6,213,"February 7, 1989",us US,R,Florida
11,Mike Conley,PG,6-0,175,"October 11, 1987",us US,6,Ohio State
1,Seth Curry,PG,6-1,185,"August 23, 1990",us US,R,"Liberty, Duke"
32,Ed Davis,PF,6-9,218,"June 5, 1989",us US,3,UNC
22,Jamaal Franklin,SG,6-5,191,"July 21, 1991",us US,R,San Diego State
33,Marc Gasol,C,6-11,255,"January 29, 1985",es ES,5,
3,James Johnson,SF,6-7,240,"February 20, 1987",us US,4,Wake Forest
41,Kosta Koufos,C,7-0,245,"February 24, 1989",us US,5,Ohio State
5,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,5,Western Kentucky
30,Jon Leuer,PF,6-10,228,"May 14, 1989",us US,2,Wisconsin
13,Mike Miller,SF,6-8,218,"February 19, 1980",us US,13,Florida
7,Darius Morris,PG,6-4,190,"January 3, 1991",us US,2,Michigan
20,Quincy Pondexter,SG,6-7,230,"March 10, 1988",us US,3,Washington
21,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us US,11,Kentucky
50,Zach Randolph,PF,6-9,250,"July 16, 1981",us US,12,Michigan State
19,Beno Udrih,SG,6-3,205,"July 5, 1982",si SI,9,
