No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
45,Cole Aldrich,C,6-11,250,"October 31, 1988",us US,3,Kansas
7,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us US,10,Syracuse
77,Andrea Bargnani,C,7-0,245,"October 26, 1985",it IT,7,
26,Shannon Brown,SG,6-4,205,"November 29, 1985",us US,7,Michigan State
6,Tyson Chandler,C,7-0,235,"October 2, 1982",us US,12,
0,Earl Clark,PF,6-10,225,"January 17, 1988",us US,4,Louisville
2,Raymond Felton,PG,6-1,205,"June 26, 1984",us US,8,UNC
5,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,R,Michigan
3,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,13,Cincinnati
23,Toure' Murry,PG,6-5,195,"November 8, 1989",us US,R,Wichita State
9,Pablo Prigioni,PG,6-3,185,"May 17, 1977",ar AR,1,
21,Iman Shumpert,SG,6-5,215,"June 26, 1990",us US,2,Georgia Tech
0,Chris Smith,PG,6-2,200,"October 13, 1987",us US,R,"Manhattan College, Louisville"
8,J.R. Smith,SF,6-6,225,"September 9, 1985",us US,9,
1,Amar'e Stoudemire,C,6-10,245,"November 16, 1982",us US,11,
4,Jeremy Tyler,C,6-10,260,"June 21, 1991",us US,2,
18,Beno Udrih,SG,6-3,205,"July 5, 1982",si SI,9,
51,Metta World Peace,SF,6-7,260,"November 13, 1979",us US,14,St. John's
