No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Vin Baker,C,6-11,232,"November 23, 1971",us US,11,University of Hartford
12,Andre Barrett,PG,5-10,172,"February 21, 1982",us US,R,Seton Hall
20,Jon Barry,SG,6-4,195,"July 25, 1969",us US,12,"University of the Pacific, Georgia Tech"
40,Ryan Bowen,SF,6-7,215,"November 20, 1975",us US,5,Iowa
32,Torraye Braggs,PF,6-8,245,"May 15, 1976",us US,1,Xavier
4,Reece Gaines,PG,6-6,205,"January 7, 1981",us US,1,Louisville
5,Juwan Howard,PF,6-9,240,"February 7, 1973",us US,10,Michigan
21,Jim Jackson,SF,6-6,220,"October 14, 1970",us US,12,Ohio State
13,Mike James,PG,6-2,188,"June 23, 1975",us US,3,Duquesne
10,Brandin Knight,PG,6-0,180,"December 16, 1981",us US,R,Pitt
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,6,Nebraska
1,Tracy McGrady,SF,6-8,210,"May 24, 1979",us US,7,
11,Yao Ming,C,7-6,310,"September 12, 1980",cn CN,2,
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,13,Georgetown
9,Boštjan Nachbar,SF,6-9,221,"July 3, 1980",si SI,2,
25,Moochie Norris,PG,6-1,175,"July 27, 1973",us US,7,"Auburn, University of West Florida"
35,Scott Padgett,PF,6-9,240,"April 19, 1976",us US,5,Kentucky
31,Rod Strickland,PG,6-3,175,"July 11, 1966",us US,16,DePaul
3,Bob Sura,PG,6-5,200,"March 25, 1973",us US,9,Florida State
2,Maurice Taylor,PF,6-9,260,"October 30, 1976",us US,6,"Michigan, LSU"
17,Charlie Ward,PG,6-2,190,"October 12, 1970",us US,10,Florida State
30,Clarence Weatherspoon,PF,6-6,240,"September 8, 1970",us US,12,Southern Miss
7,David Wesley,SG,6-0,190,"November 14, 1970",us US,11,Baylor
