No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,7,Florida
42,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv LV,3,
17,Isaac Bonga,SF,6-8,180,"November 8, 1999",de DE,1,
6,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,1,Oregon
13,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,2,Indiana
9,Chris Chiozza,PG,5-11,175,"November 21, 1995",us US,1,Florida
22,Jerian Grant,SG,6-4,205,"October 9, 1992",us US,4,Notre Dame
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,R,Gonzaga
28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr FR,11,
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,R,Lipscomb
52,Jordan McRae,SG,6-5,179,"March 28, 1991",us US,3,Tennessee
34,C.J. Miles,SF,6-6,220,"March 18, 1987",us US,14,
5,Shabazz Napier,PG,6-0,175,"July 14, 1991",us US,5,UConn
18,Anžejs Pasečņiks,C,7-1,229,"December 20, 1995",lv LV,R,
20,Gary Payton II,SF,6-2,190,"December 1, 1992",us US,3,Oregon State
12,Jerome Robinson,SG,6-4,190,"February 22, 1997",us US,1,Boston College
5,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,R,Virginia Tech
1,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb GB,R,Tennessee
14,Ish Smith,PG,6-0,175,"July 5, 1988",us US,9,Wake Forest
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,8,Washington
7,Jarrod Uthoff,PF,6-9,221,"May 19, 1993",us US,1,Iowa
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,1,Michigan
19,Johnathan Williams,PF,6-9,228,"May 22, 1995",us US,1,"Missouri, Gonzaga"
