No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,R,
10,Brian Bowen,SF,6-6,190,"October 2, 1998",us US,R,
7,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,3,Virginia
3,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,1,UCLA
8,Justin Holiday,SF,6-6,180,"April 5, 1989",us US,6,Washington
24,Alize Johnson,PF,6-7,212,"April 22, 1996",us US,1,Missouri State
26,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,7,UConn
22,T.J. Leaf,PF,6-10,222,"April 30, 1997",il IL,2,UCLA
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,4,"Duquesne, Arizona"
20,Doug McDermott,PF,6-6,225,"January 3, 1992",us US,5,Creighton
15,Naz Mitrou-Long,SG,6-3,218,"August 3, 1993",ca CA,2,Iowa State
4,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,6,Indiana
11,Domantas Sabonis,PF,6-10,240,"May 3, 1996",us US,3,Gonzaga
14,JaKarr Sampson,PF,6-7,214,"March 20, 1993",us US,4,St. John's
5,Edmond Sumner,SG,6-4,196,"December 31, 1995",us US,2,Xavier
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,4,Texas
1,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,5,NC State
