No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,2,Florida State
5,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,11,
8,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,8,
0,Miles Bridges,SF,6-7,225,"March 21, 1998",us US,1,Michigan State
31,Joe Chealey,PG,6-3,190,"November 1, 1995",us US,1,College of Charleston
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,1,Kansas
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es ES,3,
14,Michael Kidd-Gilchrist,PF,6-6,232,"September 26, 1993",us US,7,Kentucky
10,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,R,"NC State, Nevada"
11,Cody Martin,SF,6-5,205,"September 28, 1995",us US,R,"NC State, Nevada"
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,R,San Diego State
1,Malik Monk,SG,6-3,200,"February 4, 1998",us US,2,Kentucky
3,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,4,Louisville
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,R,Kentucky
2,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,14,UNC
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,6,Indiana
