No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Kadeem Allen,PG,6-1,200,"January 15, 1993",us US,2,Arizona
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,R,Duke
17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,R,Michigan
25,Reggie Bullock,SG,6-6,205,"March 16, 1991",us US,6,UNC
21,Damyean Dotson,SG,6-5,210,"May 6, 1994",us US,2,"Oregon, Houston"
2,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,10,UNC
67,Taj Gibson,C,6-9,232,"June 24, 1985",us US,10,USC
3,Maurice Harkless,SF,6-7,220,"May 11, 1993",us US,7,St. John's
20,Kevin Knox,SF,6-7,215,"August 11, 1999",us US,1,Kentucky
13,Marcus Morris,SF,6-8,218,"September 2, 1989",us US,8,Kansas
11,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be BE,2,
6,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,5,Louisiana
1,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,4,Arkansas
30,Julius Randle,PF,6-8,250,"November 29, 1994",us US,5,Kentucky
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,1,Western Kentucky
5,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,2,NC State
14,Allonzo Trier,SG,6-4,200,"January 17, 1996",us US,1,Arizona
