No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv LV,7,
15,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,12,
13,Ousmane Dieng,PF,6-10,216,"May 21, 2003",fr FR,1,
5,Luguentz Dort,SF,6-3,215,"April 19, 1999",ca CA,4,Arizona State
14,Adam Flagler,SG,6-3,185,"December 1, 1999",us US,R,"Presbyterian College, Baylor"
3,Josh Giddey,SG,6-8,210,"October 10, 2002",au AU,2,
2,Shai Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca CA,5,Kentucky
33,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,13,Butler
7,Chet Holmgren,C,7-1,208,"May 1, 2002",us US,R,Gonzaga
11,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,3,Arkansas
18,Keyontae Johnson,SF,6-5,230,"May 24, 2000",us US,R,"Florida, Kansas State"
23,Tre Mann,PG,6-3,178,"February 3, 2001",us US,2,Florida
29,Vasilije Micić,PG,6-5,200,"January 13, 1994",rs RS,R,
50,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell
17,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs RS,3,
30,Olivier Sarr,C,7-0,237,"February 20, 1999",fr FR,2,"Wake Forest, Kentucky"
22,Cason Wallace,SG,6-4,193,"November 7, 2003",us US,R,Kentucky
12,Lindy Waters III,SG,6-6,215,"July 28, 1997",us US,2,Oklahoma State
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us US,2,Maryland
8,Jalen Williams,PF,6-5,195,"April 14, 2001",us US,1,Santa Clara
6,Jaylin Williams,C,6-9,240,"June 29, 2002",us US,1,Arkansas
34,Kenrich Williams,PF,6-6,210,"December 2, 1994",us US,5,TCU
