No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,2,Georgia Tech
21,Izaiah Brockington,PG,6-4,200,"July 12, 1999",us US,R,"St. Bonaventure, Penn State, Iowa State"
10,Jalen Crutcher,PG,6-2,175,"July 18, 1999",us US,R,Dayton
11,Dyson Daniels,PG,6-8,199,"March 17, 2003",au AU,1,
12,Kaiser Gates,SF,6-8,217,"November 8, 1996",us US,R,Xavier
24,Jordan Hawkins,SG,6-5,195,"April 29, 2002",us US,R,UConn
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,7,Duke
5,Herbert Jones,SF,6-8,210,"October 6, 1998",us US,2,Alabama
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,3,Alabama
32,E.J. Liddell,PF,6-7,240,"December 18, 2000",us US,R,Ohio State
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us US,3,Xavier
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,10,Lehigh
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,2,"Rice University, Virginia"
22,Larry Nance Jr.,C,6-8,245,"January 1, 1993",us US,8,Wyoming
50,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us US,2,Villanova
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,2,"Notre Dame, Vanderbilt, Chattanooga"
0,Dereon Seabron,SG,6-7,180,"May 26, 2000",us US,1,NC State
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,11,
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,3,Duke
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,10,Indiana
