No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng NG,3,Memphis
8,OG Anunoby,SF,6-7,232,"July 17, 1997",gb GB,6,Indiana
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,6,Villanova
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,4,Duke
44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",ba BA,9,
"4, 44",Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,3,Saint Joseph's
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",us US,5,Villanova
18,Alec Burks,SG,6-6,214,"July 20, 1991",us US,12,Colorado
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn GN,3,Virginia
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,5,Villanova
4,Malachi Flynn,PG,6-1,175,"May 10, 1998",us US,3,"Washington State, San Diego State"
13,Evan Fournier,SG,6-6,205,"October 29, 1992",fr FR,11,
67,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,14,USC
6,Quentin Grimes,SG,6-5,205,"May 8, 2000",us US,2,"Kansas, Houston"
3,Josh Hart,SF,6-4,215,"March 6, 1995",us US,6,Villanova
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,5,
"8, 21",DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us US,4,"Oral Roberts, Tulsa"
2,Miles McBride,PG,6-2,200,"September 8, 2000",us US,2,West Virginia
13,Shake Milton,SG,6-5,205,"September 26, 1996",us US,5,SMU
5,Immanuel Quickley,SG,6-3,190,"June 17, 1999",us US,3,Kentucky
30,Julius Randle,PF,6-8,250,"November 29, 1994",us US,9,Kentucky
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,5,Western Kentucky
45,Jericho Sims,C,6-10,245,"October 20, 1998",us US,2,Texas
14,Dmytro Skapintsev,C,7-1,260,"May 12, 1998",ua UA,R,Cal State Northridge
00,Jacob Toppin,SF,6-9,205,"May 8, 2000",us US,R,"Rhode Island, Kentucky"
20,Dylan Windler,SF,6-6,196,"September 22, 1996",us US,3,Belmont
