No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,14,Davidson
12,Usman Garuba,PF,6-8,220,"March 9, 2002",es ES,2,
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,11,Michigan State
32,Trayce Jackson-Davis,PF,6-9,245,"February 22, 2000",us US,R,Indiana
1,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,12,Texas
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd CD,2,
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,8,UCLA
4,Moses Moody,SG,6-6,205,"May 31, 2002",us US,2,Arkansas
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,18,Wake Forest
0,Gary Payton II,SG,6-2,190,"December 1, 1992",us US,7,Oregon State
2,Brandin Podziemski,SG,6-5,205,"February 25, 2003",us US,R,"Illinois, Santa Clara"
25,Lester Quinones,SG,6-5,208,"November 16, 2000",us US,1,Memphis
18,Jerome Robinson,SG,6-4,190,"February 22, 1997",us US,3,Boston College
15,Gui Santos,PF,6-8,209,"June 22, 2002",br BR,R,
20,Dario Šarić,C,6-10,225,"April 8, 1994",hr HR,6,
61,Pat Spencer,PG,6-3,205,"July 4, 1996",us US,R,"Loyola (MD), Northwestern"
11,Klay Thompson,SF,6-6,215,"February 8, 1990",us US,10,Washington State
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,9,Kansas
