No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,5,Duke
35,Buddy Boeheim,SF,6-6,205,"November 11, 1999",us US,1,Syracuse
44,Bojan Bogdanović,PF,6-7,226,"April 18, 1989",ba BA,9,
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,5,Oregon
14,Alec Burks,SG,6-6,214,"July 20, 1991",us US,12,Colorado
20,Malcolm Cazalon,SG,6-6,212,"August 27, 2001",fr FR,R,
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,2,Oklahoma State
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,1,Memphis
18,Tosan Evbuomwan,SF,6-8,219,"February 16, 2001",uk UK,R,Princeton
14,Malachi Flynn,PG,6-1,175,"May 10, 1998",us US,3,"Washington State, San Diego State"
19,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it IT,1,
31,Evan Fournier,SG,6-6,205,"October 29, 1992",fr FR,11,
12,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it IT,13,
67,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,14,USC
24,Quentin Grimes,SG,6-5,205,"May 8, 2000",us US,2,"Kansas, Houston"
31,Joe Harris,SG,6-6,220,"September 6, 1991",us US,9,Virginia
7,Killian Hayes,PG,6-5,195,"July 27, 2001",us US,3,
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",us US,1,Purdue
24,Kevin Knox,SF,6-7,215,"August 11, 1999",us US,5,Kentucky
12,Isaiah Livers,PF,6-7,230,"July 28, 1998",us US,2,Michigan
5,Chimezie Metu,C,6-9,225,"March 22, 1997",us US,5,USC
5,Shake Milton,SG,6-5,205,"September 26, 1996",us US,5,SMU
5,Monte Morris,PG,6-2,183,"June 27, 1995",us US,6,Iowa State
41,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell
20,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,4,Washington
8,Jared Rhoden,SG,6-6,210,"August 27, 1999",us US,1,Seton Hall
25,Marcus Sasser,PG,6-2,195,"September 21, 2000",us US,R,Houston
28,Isaiah Stewart,PF,6-8,250,"May 22, 2001",us US,3,Washington
9,Ausar Thompson,SF,6-7,215,"January 30, 2003",us US,R,
17,Stanley Umude,SG,6-6,210,"April 12, 1999",us US,1,"South Dakota, Arkansas"
13,James Wiseman,C,7-0,240,"March 31, 2001",us US,2,Memphis
