No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,3,Duke
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,8,
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,3,
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,5,Saint Joseph's
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,3,West Virginia
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,6,Notre Dame
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,10,Kentucky
12,Javin DeLaurier,C,6-10,237,"April 7, 1998",us US,R,Duke
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,3,Villanova
15,Jeff Dowtin,PG,6-3,185,"May 10, 1997",us US,R,Rhode Island
12,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,7,Saint Joseph's
3,George Hill,PG,6-4,188,"May 4, 1986",us US,13,IUPUI
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,12,UCLA
5,Rodney Hood,PF,6-8,208,"October 20, 1992",us US,7,"Mississippi State, Duke"
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,12,
18,Georgios Kalaitzakis,SF,6-8,192,"January 2, 1999",gr GR,R,
35,Luke Kornet,C,7-2,250,"July 15, 1995",us US,4,Vanderbilt
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,13,Stanford
54,Sandro Mamukelashvili,PF,6-11,240,"May 23, 1999",us US,R,Seton Hall
23,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,12,Marquette
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,9,Texas A&M
15,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,1,Louisville
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,4,"Duke, SMU"
9,Bobby Portis,C,6-10,250,"February 10, 1995",us US,6,Arkansas
55,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,2,Virginia Tech
6,Javonte Smart,PG,6-4,205,"June 3, 1999",us US,R,LSU
59,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us US,2,"Florida Gulf Coast, Little Rock"
6,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar AR,R,
28,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,R,Iowa State
