No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us US,4,Texas
1,Justin Anderson,SF,6-6,230,"November 19, 1993",us US,5,Virginia
6,Moses Brown,C,7-2,245,"October 13, 1999",us US,2,UCLA
21,Ed Davis,C,6-9,218,"June 5, 1989",us US,11,UNC
99,Tacko Fall,C,7-6,311,"December 10, 1995",sn SN,2,Central Florida
12,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,7,Penn State
10,Darius Garland,PG,6-1,192,"January 26, 2000",us US,2,Vanderbilt
"00, 26",Brandon Goodwin,PG,6-0,180,"October 2, 1995",us US,3,"Central Florida, Florida Gulf Coast"
12,Luke Kornet,C,7-2,250,"July 15, 1995",us US,4,Vanderbilt
3,Caris LeVert,SG,6-6,205,"August 25, 1994",us US,5,Michigan
0,Kevin Love,C,6-8,251,"September 7, 1988",us US,13,UCLA
24,Lauri Markkanen,SF,7-0,240,"May 22, 1997",fi FI,4,Arizona
4,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,R,USC
5,RJ Nembhard Jr.,SG,6-5,200,"March 22, 1999",us US,R,TCU
14,Malik Newman,PG,6-3,190,"February 21, 1997",us US,1,"Mississippi State, Kansas"
35,Isaac Okoro,SF,6-5,225,"January 26, 2001",us US,1,Auburn
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk MK,4,
6,Kevin Pangos,PG,6-2,179,"January 26, 1993",ca CA,R,Gonzaga
1,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,15,Kentucky
3,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,10,
15,Tre Scott,SF,6-8,225,"November 25, 1996",us US,R,Cincinnati
2,Collin Sexton,SG,6-3,190,"January 4, 1999",us US,3,Alabama
8,Lamar Stevens,PF,6-6,230,"July 9, 1997",us US,1,Penn State
45,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,4,Michigan State
32,Dean Wade,PF,6-9,228,"November 20, 1996",us US,2,Kansas State
9,Dylan Windler,SF,6-6,196,"September 22, 1996",us US,1,Belmont
