No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Justin Anderson,SF,6-6,230,"November 19, 1993",us US,5,Virginia
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,2,
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca CA,2,Syracuse
7,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,5,Virginia
2,Ahmad Caver,SG,6-2,175,"September 12, 1996",us US,R,Old Dominion
13,Torrey Craig,SF,6-7,221,"December 19, 1990",us US,4,USC Upstate
3,Chris Duarte,SG,6-6,190,"June 13, 1997",do DO,R,Oregon
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,1,Iowa State
24,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,5,Oklahoma
14,Nate Hinton,SG,6-5,210,"June 8, 1999",us US,1,Houston
8,Justin Holiday,SF,6-6,180,"April 5, 1989",us US,8,Washington
23,Isaiah Jackson,C,6-10,206,"January 10, 2002",us US,R,Kentucky
17,DeJon Jarreau,SG,6-5,185,"January 23, 1998",us US,R,"UMass, Houston"
26,Jeremy Lamb,SF,6-5,180,"May 30, 1992",us US,9,UConn
22,Caris LeVert,SG,6-6,205,"August 25, 1994",us US,5,Michigan
21,Kelan Martin,SF,6-5,230,"August 3, 1995",us US,2,Butler
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,6,"Duquesne, Arizona"
0,Reggie Perry,PF,6-8,250,"March 21, 2000",us US,1,Mississippi State
11,Domantas Sabonis,PF,6-10,240,"May 3, 1996",us US,5,Gonzaga
25,Jalen Smith,PF,6-10,215,"March 16, 2000",us US,1,Maryland
6,Lance Stephenson,PG,6-6,230,"September 5, 1990",us US,9,Cincinnati
28,Keifer Sykes,PG,6-0,180,"December 30, 1993",us US,R,Green Bay
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,R,Austin Peay State University
11,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,10,Texas
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,6,Texas
10,Brad Wanamaker,PG,6-3,210,"July 25, 1989",us US,3,Pitt
4,Duane Washington Jr.,PG,6-3,210,"March 24, 2000",de DE,R,Ohio State
8,Gabe York,SG,6-3,185,"August 2, 1993",us US,R,Arizona
