No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,1,
5,James Bouknight,SG,6-5,190,"September 18, 2000",us US,R,UConn
0,Miles Bridges,PF,6-7,225,"March 21, 1998",us US,3,Michigan State
22,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us US,1,Duke
8,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,6,Louisville
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,11,Butler
23,Kai Jones,C,6-11,218,"January 19, 2001",bs BS,R,Texas
98,Arnoldas Kulboka,SF,6-9,198,"January 4, 1998",lt LT,R,
16,Scottie Lewis,SG,6-5,189,"March 12, 2000",us US,R,Florida
11,Cody Martin,SF,6-5,205,"September 28, 1995",us US,2,"NC State, Nevada"
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,2,San Diego State
12,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us US,6,Kansas
24,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,8,Duke
14,Nick Richards,C,7-0,245,"November 29, 1997",jm JM,1,Kentucky
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us US,6,Louisville
10,Ish Smith,PG,6-0,175,"July 5, 1988",us US,11,Wake Forest
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,10,Washington
21,JT Thor,PF,6-10,205,"August 26, 2002",us US,R,Auburn
25,P.J. Washington,C,6-7,230,"August 23, 1998",us US,2,Kentucky
