No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Carlos Boozer,PF,6-9,258,"November 20, 1981",de DE,R,Duke
3,Tierre Brown,PG,6-2,189,"June 3, 1979",us US,1,McNeese State University
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,12,Virginia Tech
31,Ricky Davis,SG,6-6,195,"September 23, 1979",us US,4,Iowa
52,DeSagana Diop,PF,7-0,300,"January 30, 1982",sn SN,1,
32,Tyrone Hill,PF,6-9,240,"March 19, 1968",us US,12,Xavier
11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt LT,4,
33,Jumaine Jones,SF,6-8,218,"February 10, 1979",us US,3,Georgia
4,Chris Mihm,C,7-0,265,"July 16, 1979",us US,2,Texas
21,Darius Miles,SF,6-9,210,"October 9, 1981",us US,2,
10,Milt Palacio,PG,6-3,195,"February 7, 1978",us US,3,"Midland College, Colorado State"
17,Smush Parker,PG,6-4,190,"June 1, 1981",us US,R,Fordham
13,Michael Stewart,PF,6-10,230,"April 25, 1975",fr FR,5,California
2,Dajuan Wagner,SG,6-2,200,"February 4, 1983",us US,R,Memphis
