No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,7,
30,Troy Daniels,SG,6-4,200,"July 15, 1991",us US,2,VCU
12,Jorge Gutiérrez,PG,6-3,191,"December 27, 1988",mx MX,2,California
19,P.J. Hairston,SF,6-6,230,"December 24, 1992",us US,1,UNC
50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",us US,6,UNC
9,Aaron Harrison,SG,6-6,210,"October 28, 1994",us US,R,Kentucky
0,Spencer Hawes,PF,7-1,245,"April 28, 1988",us US,8,Washington
25,Al Jefferson,C,6-10,289,"January 4, 1985",us US,11,
44,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,R,Wisconsin
14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",us US,3,Kentucky
3,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,3,UConn
1,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,7,Western Kentucky
7,Jeremy Lin,SG,6-3,200,"August 23, 1988",us US,5,Harvard University
22,Brian Roberts,PG,6-1,173,"December 3, 1985",us US,3,Dayton
15,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,4,UConn
2,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,10,UNC
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,2,Indiana
