No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Alexis Ajinça,C,7-2,248,"May 6, 1988",fr FR,5,
33,Ryan Anderson,PF,6-9,240,"May 6, 1988",us US,7,California
3,Ömer Aşık,C,7-0,255,"July 4, 1986",tr TR,5,
8,Luke Babbitt,SF,6-9,225,"June 20, 1989",us US,5,Nevada
30,Norris Cole,PG,6-2,175,"October 13, 1988",us US,4,Cleveland State University
44,Dante Cunningham,SF,6-8,230,"April 22, 1987",us US,6,Villanova
23,Anthony Davis,C,6-10,253,"March 11, 1993",us US,3,Kentucky
31,Bryce Dejean-Jones,SG,6-6,209,"August 21, 1992",us US,R,"USC, UNLV, Iowa State"
16,Toney Douglas,PG,6-2,195,"March 16, 1986",us US,6,"Auburn, Florida State"
4,James Ennis III,SF,6-6,215,"July 1, 1990",us US,1,Cal State Long Beach
1,Tyreke Evans,SG,6-6,220,"September 19, 1989",us US,6,Memphis
2,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,1,Penn State
32,Jimmer Fredette,SG,6-2,195,"February 25, 1989",us US,4,BYU
15,Alonzo Gee,SF,6-6,225,"May 29, 1987",us US,6,Alabama
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,7,Indiana
25,Jordan Hamilton,SF,6-7,220,"October 6, 1990",us US,4,Texas
11,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,6,UCLA
0,Orlando Johnson,SG,6-5,220,"March 11, 1989",us US,2,"Loyola Marymount, UC Santa Barbara"
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",us US,12,
2,Nate Robinson,PG,5-9,180,"May 31, 1984",us US,10,Washington
4,Ish Smith,PG,6-0,175,"July 5, 1988",us US,5,Wake Forest
