No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,2,Pitt
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,7,Texas
4,Nick Collison,PF,6-10,255,"October 26, 1980",us US,11,Kansas
35,Kevin Durant,SF,6-11,240,"September 29, 1988",us US,8,Texas
6,Randy Foye,SG,6-4,213,"September 24, 1983",us US,9,Villanova
11,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,4,Kentucky
34,Josh Huestis,PF,6-7,230,"December 19, 1991",us US,R,Stanford
9,Serge Ibaka,PF,6-11,235,"September 18, 1989",cg CG,6,
33,Mitch McGary,PF,6-10,255,"June 6, 1992",us US,1,Michigan
13,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,17,Kentucky
2,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,7,Georgia Tech
6,Steve Novak,PF,6-10,225,"June 13, 1983",us US,9,Marquette
22,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,R,Murray State
21,Andre Roberson,SG,6-7,210,"December 4, 1991",us US,2,Colorado
5,Kyle Singler,SF,6-8,228,"May 4, 1988",us US,3,Duke
3,Dion Waiters,SG,6-3,215,"December 10, 1991",us US,3,Syracuse
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,7,UCLA
