No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Andrea Bargnani,C,7-0,245,"October 26, 1985",it IT,9,
44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",ba BA,1,
22,Markel Brown,SG,6-3,190,"January 29, 1992",us US,1,Oklahoma State
21,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,6,UNC
24,Rondae Hollis-Jefferson,SF,6-6,217,"January 3, 1995",us US,R,Arizona
2,Jarrett Jack,PG,6-3,200,"October 28, 1983",us US,10,Georgia Tech
7,Joe Johnson,SF,6-7,240,"June 29, 1981",us US,14,Arkansas
10,Sergey Karasev,SF,6-7,208,"October 26, 1993",ru RU,2,
6,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us US,1,Cincinnati
0,Shane Larkin,PG,5-11,175,"October 2, 1992",us US,2,Miami (FL)
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,7,Stanford
1,Chris McCullough,PF,6-11,200,"February 5, 1995",us US,R,Syracuse
33,Willie Reed,C,6-10,220,"May 16, 1990",us US,R,Saint Louis
41,Thomas Robinson,PF,6-10,237,"March 17, 1991",us US,3,Kansas
14,Henry Sims,C,6-10,248,"March 27, 1990",us US,3,Georgetown
15,Donald Sloan,PG,6-3,205,"January 15, 1988",us US,4,Texas A&M
30,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,8,Georgia Tech
