No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Trevor Booker,PF,6-8,228,"November 25, 1987",us US,5,Clemson
3,Trey Burke,PG,6-0,185,"November 12, 1992",us US,2,Michigan
10,Alec Burks,SG,6-6,214,"July 20, 1991",us US,4,Colorado
15,Derrick Favors,PF,6-9,265,"July 15, 1991",us US,5,Georgia Tech
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,2,
18,Erick Green,PG,6-4,185,"May 9, 1991",us US,1,Virginia Tech
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,5,Butler
5,Rodney Hood,SG,6-8,208,"October 20, 1992",us US,1,"Mississippi State, Duke"
2,Joe Ingles,SF,6-9,220,"October 2, 1987",au AU,1,
23,Chris Johnson,SF,6-6,206,"April 29, 1990",us US,3,Dayton
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,R,Kentucky
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,4,Butler
13,Elijah Millsap,SG,6-6,225,"August 12, 1987",us US,1,"Louisiana, UAB"
25,Raul Neto,PG,6-1,180,"May 19, 1992",br BR,R,
22,J.J. O'Brien,SF,6-7,228,"April 8, 1992",us US,R,San Diego State
21,Tibor Pleiß,C,7-3,256,"November 2, 1989",de DE,R,
24,Jeff Withey,C,7-0,231,"March 7, 1990",us US,2,Kansas
