No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,Esteban Batista,PF,6-10,270,"September 2, 1983",uy UY,R,
1,Josh Childress,SF,6-8,210,"June 20, 1983",us US,1,Stanford
0,Tony Delk,SG,6-1,189,"January 28, 1974",us US,9,Kentucky
54,John Edwards,C,7-0,275,"July 31, 1981",us US,1,Kent State University
16,Anthony Grundy,SG,6-3,180,"April 15, 1979",us US,R,NC State
3,Al Harrington,PF,6-9,230,"February 17, 1980",us US,7,
36,Royal Ivey,PG,6-3,200,"December 20, 1981",us US,1,Texas
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,4,Arkansas
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,7,Nebraska
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,2,
15,Donta Smith,SG,6-7,215,"November 27, 1983",us US,1,Southeastern Illinois College
5,Josh Smith,SF,6-9,225,"December 5, 1985",us US,1,
20,Salim Stoudamire,SG,6-1,179,"October 11, 1982",us US,R,Arizona
12,John Thomas,C,6-9,265,"September 8, 1975",us US,4,Minnesota
24,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,R,UNC
