No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Corey Brewer,SG,6-9,186,"March 5, 1986",us US,2,Florida
14,Brian Cardinal,PF,6-8,245,"May 2, 1977",us US,9,Purdue
19,Wayne Ellington,SG,6-4,207,"November 29, 1987",us US,R,UNC
10,Jonny Flynn,PG,6-0,185,"February 6, 1989",us US,R,Syracuse
8,Ryan Gomes,SF,6-7,250,"September 1, 1982",us US,4,Providence
6,Jason Hart,PG,6-3,185,"April 29, 1978",us US,8,Syracuse
1,Ryan Hollins,C,7-0,240,"October 10, 1984",us US,3,UCLA
15,Nathan Jawai,C,6-10,280,"October 10, 1986",au AU,1,Midland College
25,Al Jefferson,C,6-10,289,"January 4, 1985",us US,5,
42,Kevin Love,PF,6-8,251,"September 7, 1988",us US,1,UCLA
31,Darko Miličić,C,7-0,250,"June 20, 1985",rs RS,6,
11,Sasha Pavlović,SF,6-8,220,"November 15, 1983",me ME,6,
4,Oleksiy Pecherov,C,7-0,232,"December 8, 1985",ua UA,2,
7,Ramon Sessions,PG,6-3,190,"April 11, 1986",us US,2,Nevada
29,Alando Tucker,SF,6-6,205,"February 11, 1984",us US,2,Wisconsin
3,Damien Wilkins,SF,6-6,225,"January 11, 1980",us US,5,"NC State, Georgia"
