No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Elton Brand,PF,6-9,275,"March 11, 1979",us US,10,Duke
7,Primož Brezec,C,7-2,252,"October 2, 1979",si SI,7,
25,Rodney Carney,SG,6-7,205,"April 15, 1984",us US,3,Memphis
1,Samuel Dalembert,C,6-11,255,"May 10, 1981",ht HT,7,Seton Hall
8,Francisco Elson,C,7-0,235,"February 28, 1976",nl NL,6,California
33,Willie Green,SG,6-4,200,"July 28, 1981",us US,6,Detroit Mercy
11,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,R,UCLA
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us US,5,Arizona
3,Allen Iverson,SG,6-0,165,"June 7, 1975",us US,13,Georgetown
12,Royal Ivey,SG,6-3,200,"December 20, 1981",us US,5,Texas
72,Jason Kapono,SF,6-8,213,"February 4, 1981",us US,6,UCLA
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us US,R,Kentucky
14,Jason Smith,PF,7-0,240,"March 2, 1986",us US,1,Colorado State
16,Marreese Speights,C,6-10,255,"August 4, 1987",us US,1,Florida
23,Lou Williams,PG,6-2,175,"October 27, 1986",us US,4,
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,2,Georgia Tech
