No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Travis Diener,PG,6-1,175,"March 1, 1982",us US,4,Marquette
17,Mike Dunleavy,SF,6-9,230,"September 15, 1980",us US,7,Duke
5,T.J. Ford,PG,6-0,165,"March 24, 1983",us US,5,Texas
10,Jeff Foster,C,6-11,236,"January 16, 1977",us US,10,Texas State University
33,Danny Granger,SF,6-9,222,"April 20, 1983",us US,4,"Bradley, New Mexico"
50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",us US,R,UNC
13,Luther Head,SG,6-3,185,"November 26, 1982",us US,4,Illinois
55,Roy Hibbert,C,7-2,270,"December 11, 1986",us US,1,Georgetown
1,Dahntay Jones,SF,6-6,225,"December 27, 1980",us US,6,"Rutgers University, Duke"
44,Solomon Jones,C,6-10,230,"July 16, 1984",us US,3,South Florida
32,Josh McRoberts,C,6-10,240,"February 28, 1987",us US,2,Duke
3,Troy Murphy,PF,6-11,245,"May 2, 1980",us US,8,Notre Dame
22,A.J. Price,PG,6-2,181,"October 7, 1986",us US,R,UConn
25,Brandon Rush,SG,6-6,220,"July 7, 1985",us US,1,Kansas
2,Earl Watson,PG,6-1,195,"June 12, 1979",us US,8,UCLA
