No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
20,Joe Alexander,SF,6-8,230,"December 26, 1986",tw TW,1,West Virginia
32,Devin Brown,SG,6-5,220,"December 30, 1978",us US,7,Texas-San Antonio
9,Luol Deng,SF,6-9,237,"April 16, 1985",ss SS,5,Duke
22,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,R,USC
34,Aaron Gray,C,7-0,270,"December 7, 1984",us US,2,Pitt
12,Kirk Hinrich,SG,6-4,190,"January 2, 1981",us US,6,Kansas
11,Lindsey Hunter,PG,6-2,170,"December 3, 1970",us US,16,"Alcorn State, Jackson State University"
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,R,Wake Forest
0,Acie Law,PG,6-3,195,"January 25, 1985",us US,2,Texas A&M
52,Brad Miller,C,6-11,244,"April 12, 1976",us US,11,Purdue
6,Ronald Murray,SG,6-4,190,"July 29, 1979",us US,7,"Meridian Community College, Shaw"
13,Joakim Noah,C,6-11,230,"February 25, 1985",us US,2,Florida
2,Jannero Pargo,PG,6-1,175,"October 22, 1979",us US,6,Arkansas
35,Chris Richard,PF,6-9,270,"December 25, 1984",us US,1,Florida
1,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,1,Memphis
15,John Salmons,SG,6-7,210,"December 12, 1979",us US,7,Miami (FL)
24,Tyrus Thomas,PF,6-9,215,"August 17, 1986",us US,3,LSU
21,Hakim Warrick,PF,6-9,219,"July 8, 1982",us US,4,Syracuse
